ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142846851498.247.254.574.71.157.139,2015/04/08/20150408T04:48:11.16067000Z_c-98-247-254-57.hsd1.wa.comcast.net:57070.s2c_snaplog.gz,1428468514,98.247.254.57,4.71.157.139,c-98-247-254-57.hsd1.wa.comcast.net,,,,Seattle,47.6847000122,-122.384803772,12.0781141227
142846857198.247.254.5738.102.0.97,2015/04/08/20150408T04:49:07.755419000Z_c-98-247-254-57.hsd1.wa.comcast.net:57364.s2c_snaplog.gz,1428468571,98.247.254.57,38.102.0.97,c-98-247-254-57.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6847000122,-122.384803772,30.5327025802
1428468621184.77.218.23038.102.0.109,2015/04/08/20150408T04:50:00.362945000Z_184-77-218-230.war.clearwire-wmx.net:2013.s2c_snaplog.gz,1428468621,184.77.218.230,38.102.0.109,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,1.266679153
1428468862184.77.218.23038.102.0.109,2015/04/08/20150408T04:53:56.869614000Z_184-77-218-230.war.clearwire-wmx.net:2082.s2c_snaplog.gz,1428468862,184.77.218.230,38.102.0.109,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,1.5959650419
142846891076.104.182.6738.102.0.97,2015/04/08/20150408T04:54:50.765224000Z_c-76-104-182-67.hsd1.wa.comcast.net:61270.s2c_snaplog.gz,1428468910,76.104.182.67,38.102.0.97,c-76-104-182-67.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,8.6194397251
1428468917184.77.218.23038.102.0.109,2015/04/08/20150408T04:54:51.764439000Z_184-77-218-230.war.clearwire-wmx.net:2092.s2c_snaplog.gz,1428468917,184.77.218.230,38.102.0.109,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,1.5633736406
1428469092184.77.218.23038.102.0.109,2015/04/08/20150408T04:57:51.528094000Z_184-77-218-230.war.clearwire-wmx.net:2125.s2c_snaplog.gz,1428469092,184.77.218.230,38.102.0.109,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,1.0947419473
142847039898.225.24.14738.102.0.83,2015/04/08/20150408T05:19:44.603505000Z_c-98-225-24-147.hsd1.wa.comcast.net:61505.s2c_snaplog.gz,1428470398,98.225.24.147,38.102.0.83,,,,,Seattle,47.3824005127,-122.3137969971,10.5161074788
142847050224.19.53.209173.205.3.11,2015/04/08/20150408T05:21:28.846427000Z_c-24-19-53-209.hsd1.wa.comcast.net:58660.s2c_snaplog.gz,1428470502,24.19.53.209,173.205.3.11,,,,,Seattle,47.6738014221,-122.3419036865,39.5478535653
142847055124.19.53.209173.205.3.11,2015/04/08/20150408T05:22:17.379879000Z_c-24-19-53-209.hsd1.wa.comcast.net:38611.s2c_snaplog.gz,1428470551,24.19.53.209,173.205.3.11,,,,,Seattle,47.6738014221,-122.3419036865,39.8551818352
142847061898.225.24.147173.205.3.24,2015/04/08/20150408T05:23:25.167518000Z_c-98-225-24-147.hsd1.wa.comcast.net:61606.s2c_snaplog.gz,1428470618,98.225.24.147,173.205.3.24,,,,,Seattle,47.3824005127,-122.3137969971,5.0099666889
142847087698.225.24.14763.243.224.37,2015/04/08/20150408T05:27:43.675506000Z_c-98-225-24-147.hsd1.wa.comcast.net:61793.s2c_snaplog.gz,1428470876,98.225.24.147,63.243.224.37,,,,,Seattle,47.3824005127,-122.3137969971,7.5644629264
142847111298.225.24.14738.102.0.83,2015/04/08/20150408T05:31:38.758751000Z_c-98-225-24-147.hsd1.wa.comcast.net:62007.s2c_snaplog.gz,1428471112,98.225.24.147,38.102.0.83,,,,,Seattle,47.3824005127,-122.3137969971,8.9752489696
142847483474.94.77.9438.102.0.97,2015/04/08/20150408T06:33:30.355995000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:12509.s2c_snaplog.gz,1428474834,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,5.0773203033
