id,survey_current_location,survey_normal_location,survey_normal_location_other,survey_location_performance,survey_applications,survey_other_software,survey_isp,survey_subscribe_download,survey_subscribe_upload,survey_bundle,survey_current_cost,survey_partner_org,actual_download,actual_upload,min_rtt,latitude,longitude,bigquery_key
,home,other_location,Office,normal,"hangouts-meet,zoom,skype",,Comcast,75 Mbps,,no,_41_to_60,,10,5,30,45,-93,
,home,this_location,,normal,"hangouts-meet,zoom,skype",,Comcast,,,no,_61_to_80,,204,6,17,39,-77,
,home,this_location,,normal,"zoom,other-video-conferencing",WebEx,Verizon FiOS,1000,1000,no,_61_to_80,,488,880,3,41,-74,
,home,other_location,Office,normal,"zoom,skype",Teams,Ting,1000 Mbps,1000 Mbps,no,_81_to_100,,655,396,4,40,-77,
,home,this_location,,normal,"zoom,skype,other-video-conferencing,other",WebEx and Office 365,Bluestream,,,yes,_more_than_120,,11,3,58,26,-80,
,home,this_location,,worse,"zoom,skype",,Spectrum Cable,,,yes,_81_to_100,,111,14,0,30,-99,
,home,other_location,Work,normal,"zoom,skype,school-specific",,Comcast,,,yes,_more_than_120,,15,6,18,39,-77,
,home,other_location,Office,normal,"zoom,other",MS Teams,Centurylink,100 MBps,50 MBps,no,_more_than_120,,106,51,4,46,-123,
,home,this_location,,worse,other-video-conferencing,,Comcast,300,20,no,_61_to_80,,75,18,13,44,-123,
,home,default,work,normal,other,Office 365 including Teams,ATT,45,5,no,_61_to_80,,40,5,36,30,-95,
,home,this_location,,normal,"zoom,school-specific",,Verizon Fios,75 Mbps,75 Mbps,yes,_41_to_60,,23,8,21,43,-71,
,home,other_location,,normal,skype,,Suddenlink ,,,no,_61_to_80,,100,10,18,30,-95,
,home,other_location,office,normal,"zoom,skype,school-specific",,RCN,75,5,no,_61_to_80,,74,12,6,,,
,home,this_location,,worse,zoom,,Optimum,,,no,_61_to_80,,68,27,13,41,-74,
,home,this_location,,normal,"zoom,other",Slack,Spectrum,100,20,no,_41_to_60,,19,9,15,36,-80,
,home,this_location,,normal,"hangouts-meet,zoom,skype",,Comcast,,,yes,_61_to_80,,54,9,27,44,-70,
,home,other_location,Work,normal,"blue-jeans,skype",,Comcast,,,yes,_more_than_120,,156,6,14,42,-71,
,home,this_location,,normal,zoom,,Comcast,,,yes,_more_than_120,,81,6,22,42,-73,
,home,this_location,,normal,"zoom,other-video-conferencing",Microsoft Teams,Spectrum,,,no,_61_to_80,,94,7,58,45,-69,
,home,other_location,Work,normal,skype,,Wow,30 Mbps,5 Mbps,no,_21_to_40,,25,5,25,40,-83,
,office,this_location,,normal,"zoom,other-video-conferencing",,EmpowerCle,8.22mbit's,1.67mbit's,no,_less_than_20,,8,2,33,42,-82,
,home,this_location,,normal,"hangouts-meet,zoom",,Comcast,,,yes,default,,90,23,23,45,-93,
,home,other_location,Office,normal,zoom,Slack,Comcast,250,10,no,_81_to_100,,178,12,14,,,
,home,other_location,Office,worse,"hangouts-meet,zoom,skype",,Continuum (TDS),100,20,no,_81_to_100,,86,10,22,35,-81,
,home,this_location,,normal,"hangouts-meet,zoom",,,,,no,_41_to_60,,94,107,4,41,-74,
,home,this_location,,worse,skype,,West Central Wireless,25,,no,dont-know,,0,11,58,31,-100,
,home,this_location,,worse,"skype,other",Teams,Aureon,70 Mbps,70 Mbps,no,_61_to_80,,68,64,17,42,-94,
,home,this_location,,normal,zoom,,Fios,50,50,yes,_61_to_80,,57,44,24,39,-77,
,home,this_location,,normal,"hangouts-meet,zoom",,Verizon Fios,1000 Mbps,1000 Mbps,no,_81_to_100,,411,201,4,41,-74,
